,accel [g],aerodrag,gap [m],lift per assy [N],position [m],time [s],velocity [m/s]
0,0.0,808.4367,0.0025,,0.0,,150.0
1,-1.51071591979,806.840042273,0.0025,10168.2093352,1.49925901895,0.01,149.851802233
2,-1.51077616678,805.244861949,0.0025,10166.227012,2.9970360134,0.02,149.703595091
3,-1.51087223641,803.651158793,0.0025,10164.2445627,4.49333088935,0.03,149.555378524
4,-1.51096881507,802.058932569,0.0025,10162.2619867,5.98814355231,0.04,149.407152483
5,-1.51106590289,800.468183044,0.0025,10160.2792833,7.48147390727,0.05,149.258916918
6,-1.51116349999,798.878909987,0.0025,10158.2964519,8.97332185876,0.06,149.110671779
7,-1.5112616065,797.29111317,0.0025,10156.3134917,10.4636873108,0.07,148.962417015
8,-1.51136022256,795.704792364,0.0025,10154.3304022,11.9525701668,0.08,148.814152578
9,-1.5114593483,794.119947346,0.0025,10152.3471825,13.4399703299,0.09,148.665878416
10,-1.51155898385,792.536577893,0.0025,10150.3638322,14.9258877025,0.1,148.517594479
11,-1.51165912934,790.954683782,0.0025,10148.3803504,16.4103221867,0.11,148.369300719
12,-1.5117597849,789.374264797,0.0025,10146.3967366,17.893273684,0.12,148.220997084
13,-1.51186095068,787.795320719,0.0025,10144.41299,19.3747420953,0.13,148.072683524
14,-1.5119626268,786.217851333,0.0025,10142.42911,20.8547273212,0.14,147.924359991
15,-1.51206481341,784.641856428,0.0025,10140.4450959,22.3332292617,0.15,147.776026433
16,-1.51216751064,783.067335792,0.0025,10138.4609471,23.8102478163,0.16,147.6276828
17,-1.51227071862,781.494289216,0.0025,10136.4766628,25.285782884,0.17,147.479329042
18,-1.51237443749,779.922716494,0.0025,10134.4922425,26.7598343632,0.18,147.33096511
19,-1.5124786674,778.35261742,0.0025,10132.5076854,28.2324021521,0.19,147.182590953
20,-1.51258340848,776.783991792,0.0025,10130.5229909,29.703486148,0.2,147.03420652
21,-1.51268866087,775.216839409,0.0025,10128.5381582,31.1730862481,0.21,146.885811763
22,-1.51279442472,773.651160073,0.0025,10126.5531868,32.6412023487,0.22,146.73740663
23,-1.51290070016,772.086953587,0.0025,10124.568076,34.1078343459,0.23,146.588991071
24,-1.51300748734,770.524219755,0.0025,10122.582825,35.5729821352,0.24,146.440565036
25,-1.51311478639,768.962958385,0.0025,10120.5974332,37.0366456116,0.25,146.292128476
26,-1.51322259748,767.403169288,0.0025,10118.6119,38.4988246695,0.26,146.143681339
27,-1.51333092072,765.844852273,0.0025,10116.6262246,39.9595192029,0.27,145.995223576
28,-1.51343975629,764.288007154,0.0025,10114.6404065,41.4187291054,0.28,145.846755136
29,-1.51354910431,762.732633747,0.0025,10112.6544448,42.8764542699,0.29,145.698275969
30,-1.51365896493,761.178731869,0.0025,10110.668339,44.3326945889,0.3,145.549786024
31,-1.51376933831,759.62630134,0.0025,10108.6820884,45.7874499543,0.31,145.401285252
32,-1.51388022459,758.075341981,0.0025,10106.6956923,47.2407202576,0.32,145.252773602
33,-1.51399162391,756.525853615,0.0025,10104.70915,48.6925053899,0.33,145.104251024
34,-1.51410353643,754.977836068,0.0025,10102.7224609,50.1428052415,0.34,144.955717467
35,-1.5142159623,753.431289167,0.0025,10100.7356243,51.5916197025,0.35,144.807172881
36,-1.51432890167,751.886212742,0.0025,10098.7486394,53.0389486622,0.36,144.658617216
37,-1.51444235469,750.342606625,0.0025,10096.7615057,54.4847920097,0.37,144.510050421
38,-1.51455632151,748.800470649,0.0025,10094.7742225,55.9291496333,0.38,144.361472445
39,-1.51467080228,747.25980465,0.0025,10092.786789,57.3720214211,0.39,144.21288324
40,-1.51478579716,745.720608465,0.0025,10090.7992047,58.8134072605,0.4,144.064282753
41,-1.5149013063,744.182881933,0.0025,10088.8114688,60.2533070384,0.41,143.915670935
42,-1.51501732986,742.646624898,0.0025,10086.8235807,61.6917206413,0.42,143.767047735
43,-1.51513386799,741.111837202,0.0025,10084.8355396,63.128647955,0.43,143.618413102
44,-1.51525092085,739.578518691,0.0025,10082.847345,64.5640888651,0.44,143.469766987
45,-1.5153684886,738.046669213,0.0025,10080.8589961,65.9980432563,0.45,143.321109338
